
Host: node144.bme.utexas.edu

Timers On : Wed Jan  8 15:28:53 2020
Timers Off: Wed Jan  8 16:12:43 2020

Wall Time:     2629.76 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
HF: DIIS                            :      0.683u      0.017s      0.045w     10 calls
| DIISManager::add_entry            :      0.150u      0.000s      0.009w     10 calls
| DIISManager::extrapolate          :      0.283u      0.017s      0.018w     10 calls
| | bMatrix setup                   :      0.167u      0.000s      0.009w     10 calls
| | bMatrix pseudoinverse           :      0.017u      0.000s      0.001w     10 calls
| | New vector                      :      0.100u      0.017s      0.008w     10 calls
HF: Form C                          :      1.500u      0.067s      0.096w     10 calls

**************************************************************************************

Host: g2-node38.bme.utexas.edu

Timers On : Tue Jan 14 08:21:47 2020
Timers Off: Tue Jan 14 08:22:16 2020

Wall Time:       29.04 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.250u      0.017s      0.162w      1 calls
DFH: initialize()                   :    211.117u      3.683s     13.155w      1 calls
DFH: AO Construction                :     52.117u      0.217s      3.139w      1 calls
DFH: AO-Met. Contraction            :     41.517u      0.533s      2.535w      1 calls
HF: Form core H                     :      0.550u      0.033s      0.082w      1 calls
HF: Form S/X                        :      0.233u      0.000s      0.015w      1 calls
HF: Guess                           :     14.350u      0.517s      0.891w      1 calls
SAD Guess                           :     14.100u      0.517s      0.877w      1 calls
HF: Form G                          :    106.600u      5.367s      6.715w     11 calls
JK: D                               :      0.067u      0.000s      0.002w     11 calls
JK: USO2AO                          :      0.017u      0.000s      0.001w     11 calls
JK: JK                              :    106.433u      5.367s      6.707w     11 calls
DFH: compute_JK()                   :    106.433u      5.367s      6.707w     11 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     11 calls
