
Host: node37.bme.utexas.edu

Timers On : Sun Dec 29 12:30:42 2019
Timers Off: Sun Dec 29 12:30:49 2019

Wall Time:        6.96 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     80 calls
| JK: JK                            :      0.217u      0.000s      0.157w     80 calls
| | DFH: compute_JK()               :      0.217u      0.000s      0.157w     80 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     80 calls
| | | DFH: compute_J                :      0.033u      0.000s      0.028w     80 calls
| | | DFH: compute_K                :      0.183u      0.000s      0.127w     80 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     80 calls
HF: Form F                          :      0.000u      0.000s      0.001w     80 calls
HF: Form D                          :      0.017u      0.000s      0.001w     80 calls
HF: DIIS                            :      0.067u      0.017s      0.081w     79 calls
| DIISManager::add_entry            :      0.000u      0.000s      0.034w     72 calls
| DIISManager::extrapolate          :      0.017u      0.000s      0.011w     72 calls
| | bMatrix setup                   :      0.017u      0.000s      0.004w     72 calls
| | bMatrix pseudoinverse           :      0.000u      0.000s      0.002w     72 calls
| | New vector                      :      0.000u      0.000s      0.003w     72 calls
HF: Form C                          :      0.083u      0.000s      0.029w     79 calls
Grad: V T Perturb                   :      0.267u      0.033s      0.162w      8 calls
Grad: S                             :      0.000u      0.000s      0.003w      8 calls
Grad: JK                            :      5.783u      0.017s      3.672w      8 calls
| JKGrad: Amn                       :      0.800u      0.000s      0.516w      8 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w      8 calls
| JKGrad: AB                        :      0.817u      0.000s      0.478w      8 calls
| JKGrad: UV                        :      0.000u      0.017s      0.008w      8 calls
| JKGrad: ABx                       :      0.567u      0.000s      0.344w      8 calls
| JKGrad: Amnx                      :      3.200u      0.000s      1.923w      8 calls
Grad: XC                            :      0.000u      0.000s      0.000w      8 calls

**************************************************************************************

Host: node37.bme.utexas.edu

Timers On : Sun Dec 29 12:31:36 2019
Timers Off: Sun Dec 29 12:31:45 2019

Wall Time:        9.11 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.300u      0.000s      0.193w      7 calls
DFH: initialize()                   :      1.550u      0.033s      0.961w      7 calls
DFH: AO Construction                :      0.433u      0.000s      0.262w      7 calls
DFH: AO-Met. Contraction            :      0.150u      0.000s      0.096w      7 calls
HF: Form core H                     :      0.000u      0.000s      0.170w      7 calls
HF: Form S/X                        :      0.017u      0.000s      0.003w      7 calls
HF: Guess                           :      0.533u      0.000s      0.322w      7 calls
SAD Guess                           :      0.517u      0.000s      0.310w      1 calls
HF: Form G                          :      0.267u      0.000s      0.145w     72 calls
JK: D                               :      0.000u      0.000s      0.001w     72 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     72 calls
JK: JK                              :      0.233u      0.000s      0.140w     72 calls
DFH: compute_JK()                   :      0.233u      0.000s      0.140w     72 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     72 calls
DFH: compute_J                      :      0.050u      0.000s      0.025w     72 calls
DFH: compute_K                      :      0.183u      0.000s      0.114w     72 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     72 calls
HF: Form F                          :      0.017u      0.000s      0.001w     72 calls
HF: Form D                          :      0.000u      0.000s      0.001w     72 calls
HF: DIIS                            :      0.033u      0.000s      0.076w     71 calls
DIISManager::add_entry              :      0.017u      0.000s      0.033w     65 calls
DIISManager::extrapolate            :      0.000u      0.000s      0.010w     65 calls
bMatrix setup                       :      0.000u      0.000s      0.004w     65 calls
bMatrix pseudoinverse               :      0.000u      0.000s      0.002w     65 calls
New vector                          :      0.000u      0.000s      0.003w     65 calls
HF: Form C                          :      0.017u      0.000s      0.026w     71 calls
Grad: V T Perturb                   :      0.233u      0.017s      0.144w      7 calls
Grad: S                             :      0.000u      0.000s      0.003w      7 calls
Grad: JK                            :      5.217u      0.033s      3.355w      7 calls
JKGrad: Amn                         :      0.800u      0.000s      0.462w      7 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w      7 calls
JKGrad: AB                          :      0.700u      0.033s      0.426w      7 calls
JKGrad: UV                          :      0.000u      0.000s      0.007w      7 calls
